country;confirmed;deaths;recovered;Lat;Long;population;active;confirmed_ratio;deaths_ratio;recovered_ratio;active_ratio
Malaysia;4664213.0;35942.0;4365709.0;4.210484;101.975766;32776195.0;262562.0;0.1423048953668966;0.001096588545436711;0.1331975538954415;0.00801075292601841
Maldives;184302.0;307.0;176413.0;3.2028;73.2207;543620.0;7582.0;0.3390272616901512;0.000564732717707222;0.3245152864133034;0.013947242559140576
Mali;31217.0;737.0;29584.0;17.570692;-3.996166;20855724.0;896.0;0.0014968073033571024;3.533802039190776e-05;0.0014185074562743543;4.296182669084037e-05
Malta;112533.0;789.0;105506.0;35.9375;14.3754;516869.0;6238.0;0.2177205442771766;0.0015264989774971996;0.20412522321903614;0.012068822080643258
Marshall Islands;59.0;0.0;46.0;7.1315;171.1845;59618.0;13.0;0.0009896340031534101;0.0;0.0007715790533060485;0.00021805494984736154
Mauritania;62457.0;991.0;58706.0;21.0079;-10.9408;4775110.0;2760.0;0.0130796986875695;0.0002075344861165502;0.012294167045366493;0.0005779971560864566
Mauritius;241165.0;1009.0;218750.0;-20.348404;57.552152;1266060.0;21406.0;0.1904846531759948;0.0007969606495742698;0.1727801210053236;0.016907571521096947
Mexico;6686954.0;327412.0;5700523.0;23.6345;-102.5528;130262220.0;659019.0;0.051334561932078235;0.0025134839556703393;0.04376190579279241;0.005059172183615479
Moldova;532187.0;11608.0;498268.0;47.4116;28.3699;2573928.0;22311.0;0.2067606397692554;0.00450983865904563;0.19358272647875155;0.008668074631458222
Monaco;14014.0;61.0;13137.0;43.7333;7.4167;39520.0;816.0;0.35460526315789476;0.0015435222672064777;0.332413967611336;0.020647773279352227
Mongolia;939010.0;2119.0;892547.0;46.8625;103.8467;3329282.0;44344.0;0.28204579846345246;0.00063647356997695;0.26808993650883284;0.013319388384642694
Montenegro;255580.0;2742.0;236789.0;42.708678;19.37439;620173.0;16049.0;0.4121108142405426;0.004421346946739055;0.38181120429299564;0.02587826300080784
Morocco;1259420.0;16226.0;1214904.0;31.7917;-7.0926;37344787.0;28290.0;0.03372411790700534;0.00043449170027399007;0.03253209075740612;0.0007575354493252297
Mozambique;229443.0;2215.0;213035.0;-18.665695;35.529562;32163045.0;14193.0;0.007133746198470947;6.886785750540722e-05;0.006623595496011028;0.00044128284495451226
Namibia;169253.0;4069.0;145628.0;-22.9576;18.4904;2587344.0;19556.0;0.06541573134457575;0.001572655201627615;0.05628474605618735;0.007558330086760786
Nepal;984893.0;11960.0;945457.0;28.1667;84.25;29674920.0;27476.0;0.03318940708180511;0.0004030339424672417;0.03186047342334874;0.0009258997159891249
Netherlands;8433004.0;23113.0;6204025.0;21.408839999999998;-52.99206;17533405.0;2205866.0;0.48096784395272907;0.0013182265509751243;0.35384028373268056;0.1258093336690734
New Zealand;1576781.0;1456.0;1437505.0;-31.068649999999998;7.554149999999993;5122600.0;137820.0;0.3078087299418264;0.00028423066411587867;0.2806201928708078;0.026904306406902743
Nicaragua;14807.0;244.0;11243.0;12.865416;-85.207229;6702379.0;3320.0;0.002209215563608086;3.640498396166495e-05;0.0016774640765614716;0.0004953465030849494
Niger;9104.0;311.0;8558.0;17.607789;8.081666;25130810.0;235.0;0.0003622644872966689;1.2375247753653782e-05;0.0003405381680892896;9.351071453725526e-06
Nigeria;260764.0;3147.0;247729.0;9.082;8.6753;211400704.0;9888.0;0.0012335058259787062;1.4886421570289568e-05;0.0011718456718100617;4.677373259835502e-05
North Macedonia;325279.0;9361.0;300533.0;41.6086;21.7453;2065092.0;15385.0;0.15751307932043707;0.004532969959691868;0.14553007807884588;0.007450031281899305
Norway;1455162.0;3623.0;1266317.0;60.472;8.4689;5408320.0;185222.0;0.2690598929057452;0.0006698937932666706;0.23414239542038934;0.03424760369208923
Oman;395737.0;4628.0;373787.0;21.512583;55.923255;5223376.0;17322.0;0.07576268681404517;0.0008860170127519061;0.07156042375658961;0.0033162460447036554
Pakistan;1551871.0;30474.0;1457160.0;30.3753;69.3451;225199929.0;64237.0;0.006891081213440347;0.00013531975847114942;0.006470517137685243;0.0002852443172839544
Palau;5308.0;6.0;5036.0;7.515;134.5825;18174.0;266.0;0.2920655882029273;0.0003301419610432486;0.27709915263563334;0.014636293606250688
Panama;948473.0;8412.0;901960.0;8.538;-80.7821;4381583.0;38101.0;0.21646811209556;0.001919854080134965;0.20585254233458547;0.008695715680839551
Papua New Guinea;44776.0;662.0;42681.0;-6.314993;143.95555;9119005.0;1433.0;0.0049101848282789625;7.25956395462005e-05;0.004680444851165231;0.00015714433756753066
Paraguay;701060.0;19147.0;647494.0;-23.4425;-58.4438;7219641.0;34419.0;0.09710455132048809;0.0026520709270724126;0.08968506882821459;0.004767411565201095
Peru;3873702.0;214120.0;3623282.0;-9.19;-75.0152;33359416.0;36300.0;0.11612019826725983;0.006418577591406276;0.10861347213032746;0.0010881485455260967
Philippines;3760488.0;60694.0;3571087.0;12.879721;121.774017;111046910.0;128707.0;0.03386395893411172;0.0005465618088787883;0.03215836442454815;0.0011590327006847827
Poland;6058462.0;116535.0;5605527.0;51.9194;19.1451;37781024.0;336400.0;0.1603572735349894;0.003084484952022476;0.14836884781100693;0.00890394077196002
Portugal;5333656.0;24576.0;5010202.0;39.3999;-8.2245;10299423.0;298878.0;0.5178596898098078;0.002386153088381747;0.48645462954575225;0.029018907175673823
Qatar;405312.0;680.0;385566.0;25.3548;51.1839;2930524.0;19066.0;0.13830700584605346;0.00023204041325032657;0.1315689617283462;0.00650600370445695
Romania;3033866.0;65923.0;2804006.0;45.9432;24.9668;19115146.0;163937.0;0.15871529309794444;0.0034487311789300483;0.14669027377557042;0.008576288143443947
Rwanda;132198.0;1466.0;109782.0;-1.9403;29.8739;13276517.0;20950.0;0.009957280211368689;0.00011042052670892524;0.008268885581964005;0.0015779741026957597
Samoa;15374.0;29.0;14390.0;-13.759;-172.1046;200144.0;955.0;0.07681469342073707;0.00014489567511391798;0.07189823327204413;0.004771564473579023
San Marino;19752.0;118.0;18368.0;43.9424;12.4578;34010.0;1266.0;0.5807703616583357;0.0034695677741840634;0.540076448103499;0.03722434578065275
Sao Tome and Principe;6100.0;74.0;5800.0;0.1864;6.6131;223364.0;226.0;0.027309682849519172;0.0003312977919449867;0.02596658369298544;0.001011801364588743
Saudi Arabia;808742.0;9243.0;777719.0;23.885942;45.079162;35340680.0;21780.0;0.02288416634880823;0.00026153995905002394;0.02200633943659262;0.0006162869531655871
Senegal;87194.0;1968.0;76318.0;14.4974;-14.4524;17196308.0;8908.0;0.0050705069948735505;0.00011444317001067904;0.00443804565491616;0.0005180181699467118
Serbia;2101168.0;16239.0;1260640.0;44.0165;21.0059;6844078.0;824289.0;0.3070052679119087;0.0023727082011631077;0.18419427715464376;0.12043828255610178
Seychelles;45429.0;168.0;43569.0;-4.6796;55.492;99202.0;1692.0;0.457944396282333;0.0016935142436644423;0.43919477429890524;0.01705610773976331
Sierra Leone;7731.0;125.0;5701.0;8.460555;-11.779889;8141343.0;1905.0;0.0009495976278115294;1.5353732179076598e-05;0.0007002530172233255;0.00023399087840912734
Singapore;1685889.0;1490.0;1517179.0;1.2833;103.8333;5453566.0;167220.0;0.30913516037029715;0.00027321572710406364;0.2781994386792055;0.0306625059639876
Slovenia;1077189.0;6688.0;1013230.0;46.1512;14.9955;2107007.0;57271.0;0.5112413010493083;0.0031741707550093567;0.48088592017017506;0.027181210124123934
Solomon Islands;21544.0;153.0;20314.0;-9.6457;160.1562;703995.0;1077.0;0.030602490074503372;0.00021733108899921164;0.028855318574705788;0.001529840410798372
Somalia;26957.0;1361.0;18218.0;5.152149;46.199616;16359500.0;7378.0;0.001647788746599835;8.319325162749473e-05;0.001113603716495003;0.0004509917784773373
South Africa;4002981.0;101955.0;3770894.0;-30.5595;22.9375;60041996.0;130132.0;0.06666968566468043;0.0016980614701749756;0.0628042745281153;0.002167349666390171
South Sudan;17733.0;138.0;16971.0;6.877;31.307;11381377.0;624.0;0.0015580715760491898;1.2125070630732994e-05;0.0014911200990881859;5.482640633027093e-05
Spain;13203228.0;110394.0;8491370.0;40.463667;-3.74922;47326687.0;4601464.0;0.2789806098195718;0.0023325951381299942;0.17942033423974935;0.09722768044169244
Sri Lanka;665094.0;16544.0;622242.0;7.873054;80.771797;22156000.0;26308.0;0.030018685683336342;0.0007467051814406933;0.028084582054522477;0.001187398447373172
Sudan;63006.0;4957.0;52840.0;12.8628;30.2176;44909351.0;5209.0;0.0014029594860990085;0.00011037790325671818;0.0011765923760510366;0.00011598920679125379
Suriname;80966.0;1380.0;74496.0;3.9193;-56.0278;591798.0;5090.0;0.13681357490224705;0.002331876755244188;0.12588079040483408;0.008600907742168781
Sweden;2533978.0;19249.0;1355206.0;60.128161;18.643501;10415811.0;1159523.0;0.24328187214610558;0.0018480558066961853;0.1301104637939379;0.1113233525454715
Switzerland;3949259.0;13891.0;3306138.0;46.8182;8.2275;8697723.0;629230.0;0.4540566536782098;0.001597084662273103;0.38011534743058617;0.07234422158535056
Tajikistan;17786.0;125.0;17506.0;38.861;71.2761;9749625.0;155.0;0.0018242752926394604;1.2821005936125748e-05;0.0017955562393425389;1.5898047360795928e-05
Tanzania;37510.0;841.0;34418.0;-6.369028;34.888822;61498438.0;2251.0;0.0006099341905236683;1.3675144074390963e-05;0.0005596564907876197;3.6602555661657616e-05
Thailand;4584070.0;31290.0;3861449.0;15.870032;100.992541;69950844.0;691331.0;0.06553273324336158;0.00044731411675318745;0.055202321790427576;0.009883097336180818
